Aggr,Conv,LSTM,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
add,1,1,0.004415302071720362,0.8298828601837158,0.00603830860927701,0.8274307886612281,0.005348077975213528,"[[0.0015837870305404067, 0.0022556951735168695, 0.0026965877041220665, 0.0023291169200092554, 0.0033307604026049376, 0.0032879605423659086, 0.0036895745433866978, 0.004031206481158733, 0.0040301005356013775, 0.00469024945050478, 0.0046906000934541225, 0.005238337442278862, 0.006535459775477648, 0.006568277720361948, 0.007308320142328739, 0.007471084129065275, 0.008110526949167252, 0.009273774921894073, 0.009433235973119736, 0.010406915098428726]]"
add,1,2,0.005334492772817612,0.7766929268836975,0.00624766806140542,0.7987288149947004,0.00614648824557662,"[[0.002347055124118924, 0.002924341941252351, 0.0031834656838327646, 0.0030357851646840572, 0.003717545885592699, 0.003920695744454861, 0.00425131618976593, 0.004666205961257219, 0.005005458369851112, 0.005584774538874626, 0.005759356543421745, 0.005904517136514187, 0.007398243062198162, 0.007806607522070408, 0.008293287828564644, 0.008574604988098145, 0.009110809303820133, 0.010152322240173817, 0.010188160464167595, 0.011105210520327091]]"
add,2,1,0.00579029181972146,0.767164409160614,0.007879386655986309,0.7636824519117176,0.007570972200483084,"[[0.0036792184691876173, 0.0042709363624453545, 0.004450919572263956, 0.004686007276177406, 0.006052497308701277, 0.005573806818574667, 0.005840458907186985, 0.005737799685448408, 0.006508424878120422, 0.006895958911627531, 0.006938315462321043, 0.007141051348298788, 0.008820872753858566, 0.008759741671383381, 0.00964832678437233, 0.009591844864189625, 0.010637200437486172, 0.011707778088748455, 0.012053009122610092, 0.012425254099071026]]"
add,2,2,0.004955373238772154,0.806868851184845,0.005712497979402542,0.8247964290730149,0.005653992295265198,"[[0.0019581723026931286, 0.0026068466249853373, 0.0028102032374590635, 0.0027558000292629004, 0.003352533094584942, 0.0034815208055078983, 0.0037237636279314756, 0.00421931641176343, 0.004419596400111914, 0.005107046104967594, 0.005167951807379723, 0.005538346245884895, 0.006883586291223764, 0.006926173344254494, 0.007868868298828602, 0.007818757556378841, 0.008400935679674149, 0.009669042192399502, 0.009780695661902428, 0.01059069111943245]]"
mean,1,1,0.005238188896328211,0.814363420009613,0.005991385318338871,0.7960933577633809,0.005646216683089733,"[[0.0018734786426648498, 0.0025015762075781822, 0.0025467833038419485, 0.0026404999662190676, 0.003456047037616372, 0.003610724350437522, 0.004047390539199114, 0.004163868259638548, 0.004712970461696386, 0.005062130279839039, 0.005121672060340643, 0.0055801779963076115, 0.006507368758320808, 0.006999482866376638, 0.007496203761547804, 0.007907751016318798, 0.008619287982583046, 0.009538253769278526, 0.009781709872186184, 0.01075696386396885]]"
mean,1,2,0.005398271139711142,0.8160771727561951,0.0061380318365991116,0.8202661531154615,0.0055801221169531345,"[[0.0022144909016788006, 0.0028280853293836117, 0.0028322532307356596, 0.0030083900783210993, 0.003775764023885131, 0.0036847456358373165, 0.004035400692373514, 0.004175729583948851, 0.00454339012503624, 0.004921986721456051, 0.005150490440428257, 0.005545211955904961, 0.006502535194158554, 0.006713951006531715, 0.007405174430459738, 0.00763294193893671, 0.008204519748687744, 0.009195526130497456, 0.009308932349085808, 0.00992292258888483]]"
mean,2,1,0.004796712193638086,0.817882239818573,0.006676413584500551,0.8132361330431752,0.006426062900573015,"[[0.0025512014981359243, 0.003321695374324918, 0.0034856796264648438, 0.0032486566342413425, 0.00438234768807888, 0.003880641655996442, 0.004642015788704157, 0.0044367131777107716, 0.005364897660911083, 0.005614988040179014, 0.005852645728737116, 0.00691751716658473, 0.0072958809323608875, 0.0075254966504871845, 0.008232511579990387, 0.008482517674565315, 0.010132200084626675, 0.010903993621468544, 0.010957246646285057, 0.01129242219030857]]"
mean,2,2,0.0048415157943964005,0.823784351348877,0.006101119797676802,0.8306304741089844,0.005838015582412481,"[[0.002031939569860697, 0.0027577022556215525, 0.0028137327171862125, 0.0027252319268882275, 0.003668859601020813, 0.0038382948841899633, 0.004155579023063183, 0.004370793700218201, 0.004600463435053825, 0.005366235971450806, 0.005372322630137205, 0.005649319849908352, 0.0069975159130990505, 0.007105621509253979, 0.007960355840623379, 0.008161060512065887, 0.008698572404682636, 0.009967762045562267, 0.009798643179237843, 0.010720323771238327]]"
