Hidden Size,Dropout,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
16,0.2,0.059339359402656555,-16.74396383319979,0.05281999944383779,-18.247557962578973,0.045888711324390694,"[0.04005108401179314, 0.03960233926773071, 0.04245578497648239, 0.05000418797135353, 0.05457543954253197, 0.05410129576921463, 0.04520959034562111, 0.050709161907434464, 0.053248900920152664, 0.04801873117685318, 0.05347105860710144, 0.04706619307398796, 0.0329555980861187, 0.04058605059981346, 0.04236998036503792, 0.04229291155934334, 0.048861924558877945, 0.04811285063624382, 0.0527091920375824, 0.04839203506708145, 0.04876969754695892, 0.03715735301375389, 0.034719016402959824]"
16,0.5,0.06413242965936661,-19.268094334912664,0.05962369839200169,-21.074888177538668,0.05222091164747392,"[0.04612398147583008, 0.045635886490345, 0.04870729148387909, 0.05668950825929642, 0.06151047721505165, 0.06095130741596222, 0.05161602422595024, 0.05745740979909897, 0.06016351282596588, 0.0545123815536499, 0.0602375790476799, 0.05315402150154114, 0.03855343535542488, 0.046596892178058624, 0.0485057458281517, 0.04841861128807068, 0.055431291460990906, 0.05460915341973305, 0.05951899290084839, 0.05486736446619034, 0.05521240830421448, 0.042913008481264114, 0.03969471901655197]"
16,0.8,0.07151132076978683,-22.933142975979294,0.06706408320285219,-25.639788744422503,0.05968188459099114,"[0.052659984678030014, 0.05214943736791611, 0.05554809793829918, 0.06437511742115021, 0.06982345879077911, 0.0688423439860344, 0.05916539579629898, 0.06512244045734406, 0.06767886132001877, 0.06190342456102371, 0.06814389675855637, 0.06052844598889351, 0.045558176934719086, 0.053939465433359146, 0.05595899373292923, 0.05586447939276695, 0.06325540691614151, 0.06235359236598015, 0.06766817718744278, 0.06251651048660278, 0.06286345422267914, 0.050105493515729904, 0.04665864631533623]"
32,0.2,0.06089671701192856,-19.28983257662289,0.05599029939721829,-21.083466331870103,0.04880351948550845,"[0.04323829710483551, 0.04277472943067551, 0.04561297968029976, 0.053183093667030334, 0.057898156344890594, 0.05701735243201256, 0.04819950833916664, 0.053868722170591354, 0.05628072842955589, 0.050850752741098404, 0.05636042356491089, 0.04976102337241173, 0.03499096259474754, 0.04355679079890251, 0.04539499804377556, 0.045297667384147644, 0.052014973014593124, 0.05115482956171036, 0.05595260486006737, 0.05122232809662819, 0.05149070546030998, 0.040013257414102554, 0.03634600713849068]"
32,0.5,0.06460060179233551,-19.857736440667725,0.059803479631000786,-22.033685408506802,0.05247809132066755,"[0.04538840427994728, 0.04492497816681862, 0.048178836703300476, 0.056673601269721985, 0.062038227915763855, 0.06093430519104004, 0.052089300006628036, 0.05731464922428131, 0.059462450444698334, 0.054364755749702454, 0.06035974994301796, 0.05335164815187454, 0.040101058781147, 0.04727226123213768, 0.0491219237446785, 0.049035076051950455, 0.05583139508962631, 0.054995182901620865, 0.06000453978776932, 0.055122558027505875, 0.055493537336587906, 0.04384059086441994, 0.04109695181250572]"
32,0.8,0.06867166608572006,-21.38727758941312,0.06493362657655712,-23.730658056989217,0.05742384277624246,"[0.050971806049346924, 0.050453200936317444, 0.05372653529047966, 0.06214169040322304, 0.06742522120475769, 0.06624498963356018, 0.05712514370679855, 0.06288108229637146, 0.06525149941444397, 0.05960780382156372, 0.06555551290512085, 0.058081842958927155, 0.043594054877758026, 0.05175933614373207, 0.0537605956196785, 0.053658172488212585, 0.06095137447118759, 0.0600123256444931, 0.06528592109680176, 0.060064516961574554, 0.06033720448613167, 0.04794891178607941, 0.04390982538461685]"
64,0.2,0.07134269177913666,-22.878516178369914,0.06728489242984803,-25.699249139095198,0.05995481872076916,"[0.05259605124592781, 0.052092183381319046, 0.05553440377116203, 0.06451107561588287, 0.0701817199587822, 0.06895554810762405, 0.05958837643265724, 0.06519844383001328, 0.06747262924909592, 0.06199856474995613, 0.06833157688379288, 0.060766302049160004, 0.04662474989891052, 0.054391346871852875, 0.056371044367551804, 0.056274283677339554, 0.06355344504117966, 0.06264165043830872, 0.0680060014128685, 0.06274238973855972, 0.06309816241264343, 0.05070927366614342, 0.04732184857130051]"
64,0.5,0.06585948914289474,-20.02512590350287,0.06051149735182163,-22.161282759413027,0.053539144713135,"[0.04790707305073738, 0.047420237213373184, 0.05039568990468979, 0.0581217035651207, 0.06294255703687668, 0.06190590187907219, 0.053188733756542206, 0.05884724110364914, 0.06121295318007469, 0.05569515377283096, 0.061217136681079865, 0.05424058437347412, 0.03983854502439499, 0.04804987087845802, 0.04996666684746742, 0.049866627901792526, 0.056852299720048904, 0.05594847351312637, 0.060925230383872986, 0.055988579988479614, 0.05622059851884842, 0.044354695826768875, 0.040293850004673004]"
64,0.8,0.062192440032958984,-18.588000821052933,0.05747282864971547,-20.208539462365906,0.05035309146297799,"[0.04485355690121651, 0.044357724487781525, 0.04729725420475006, 0.054979290813207626, 0.05979626998305321, 0.05877571925520897, 0.04993659257888794, 0.055706724524497986, 0.058121323585510254, 0.05252838507294655, 0.058081939816474915, 0.051146816462278366, 0.03633420541882515, 0.04479730874300003, 0.04672406613826752, 0.04662144184112549, 0.0536670945584774, 0.05275396257638931, 0.05776413530111313, 0.052795227617025375, 0.05303472280502319, 0.04107939824461937, 0.03696782886981964]"
