nb_block,nb_chev_filter,nb_time_filter,hidden,time_strides,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
1,2,2,50,2,0.1489221602678299,-51.84261703491211,0.14370441436767578,-61.90955456923086,0.12655824422836304,"[0.11582206934690475, 0.11435369402170181, 0.11512553691864014, 0.12433281540870667, 0.13705359399318695, 0.12927356362342834, 0.11828680336475372, 0.12500786781311035, 0.1250433623790741, 0.1184372827410698, 0.12896524369716644, 0.11685921251773834, 0.09492077678442001, 0.3180061876773834, 0.11098504066467285, 0.11077948659658432, 0.12360935658216476, 0.12106457352638245, 0.13257406651973724, 0.11980704963207245, 0.11988823115825653, 0.10135211795568466, 0.08929181098937988]"
1,2,2,80,2,0.06513307243585587,-15.403105735778809,0.05899706110358238,-15.874918515277013,0.04530663415789604,"[0.06647544354200363, 0.06500627100467682, 0.029464740306138992, 0.08337952941656113, 0.09930358827114105, 0.089571014046669, 0.07747778296470642, 0.031137114390730858, 0.03328988701105118, 0.028214232996106148, 0.03384381905198097, 0.029822316020727158, 0.01725858636200428, 0.06610522419214249, 0.022852223366498947, 0.02289898693561554, 0.0310109481215477, 0.0810578390955925, 0.03248908743262291, 0.02892877720296383, 0.028838910162448883, 0.020308448001742363, 0.023317981511354446]"
1,2,2,100,2,0.0647018626332283,-15.8074312210083,0.059363361448049545,-16.43426920551204,0.04570339620113373,"[0.06648897379636765, 0.06501980125904083, 0.029301242902874947, 0.08343284577131271, 0.09929254651069641, 0.08963017165660858, 0.07753190398216248, 0.031963784247636795, 0.034310635179281235, 0.028037842363119125, 0.03409948572516441, 0.03082912229001522, 0.018548134714365005, 0.06615670770406723, 0.02267378568649292, 0.02271856553852558, 0.03222472220659256, 0.08110097795724869, 0.03238965570926666, 0.02874183841049671, 0.029197977855801582, 0.02226055972278118, 0.025226715952157974]"
1,2,2,50,5,0.3464535176753998,-154.27540588378906,0.3454318940639496,-192.09939960264953,0.32610201835632324,"[0.2945677936077118, 0.2931223213672638, 0.3037042021751404, 0.336250901222229, 0.3660781979560852, 0.3461766839027405, 0.33070045709609985, 0.33543941378593445, 0.32943522930145264, 0.32282036542892456, 0.34685608744621277, 0.3223120868206024, 0.30494171380996704, 0.3175540566444397, 0.322734534740448, 0.3222269117832184, 0.3410898745059967, 0.3368629515171051, 0.3575018644332886, 0.33243656158447266, 0.33260321617126465, 0.3102307617664337, 0.2946997880935669]"
1,2,2,80,5,0.3464535176753998,-154.27540588378906,0.3454318940639496,-192.0994001983023,0.32610201835632324,"[0.2945677638053894, 0.2931223213672638, 0.3037042021751404, 0.336250901222229, 0.3660781681537628, 0.3461766839027405, 0.33070045709609985, 0.33543944358825684, 0.329435259103775, 0.32282036542892456, 0.34685608744621277, 0.3223120868206024, 0.30494171380996704, 0.3175540566444397, 0.322734534740448, 0.3222269117832184, 0.3410898745059967, 0.3368629217147827, 0.3575018644332886, 0.33243656158447266, 0.33260321617126465, 0.3102307915687561, 0.2946998178958893]"
1,2,2,100,5,0.3464535176753998,-154.27540588378906,0.3454318940639496,-192.09939921222144,0.32610201835632324,"[0.2945677936077118, 0.2931223213672638, 0.30370423197746277, 0.336250901222229, 0.3660781979560852, 0.3461766839027405, 0.33070048689842224, 0.33543941378593445, 0.329435259103775, 0.32282036542892456, 0.34685608744621277, 0.3223120868206024, 0.30494171380996704, 0.3175540566444397, 0.322734534740448, 0.3222269117832184, 0.3410898745059967, 0.3368629515171051, 0.3575018644332886, 0.33243656158447266, 0.3326032757759094, 0.3102307617664337, 0.2946997880935669]"
1,2,2,50,10,0.051096417009830475,-12.21469497680664,0.04307123273611069,-13.302079690801598,0.03546854108572006,"[0.027642223984003067, 0.027776304632425308, 0.030444448813796043, 0.03916249796748161, 0.04644043743610382, 0.04617670178413391, 0.03323398903012276, 0.04047746583819389, 0.0451781190931797, 0.0380837544798851, 0.04590986669063568, 0.03701280802488327, 0.020688358694314957, 0.028908230364322662, 0.030614858493208885, 0.030555935576558113, 0.03811079263687134, 0.03743843734264374, 0.04425272345542908, 0.038617007434368134, 0.03941120579838753, 0.025726133957505226, 0.023914147168397903]"
1,2,2,80,10,0.05097592994570732,-10.983125686645508,0.04414529725909233,-10.985206208405996,0.0354260578751564,"[0.028524519875645638, 0.028103424236178398, 0.030739912763237953, 0.04024772346019745, 0.04725310951471329, 0.04612008109688759, 0.03407697752118111, 0.04069596529006958, 0.04414483159780502, 0.0379767045378685, 0.04470491036772728, 0.036861151456832886, 0.020018747076392174, 0.028645405545830727, 0.0305221788585186, 0.030478686094284058, 0.038601186126470566, 0.03783875331282616, 0.04392891749739647, 0.038273707032203674, 0.038706183433532715, 0.02482989989221096, 0.02350633777678013]"
1,2,2,100,10,0.06249254569411278,-16.496780395507812,0.0564628429710865,-18.974676315819583,0.04819624871015549,"[0.03811831772327423, 0.03775426745414734, 0.04069247469305992, 0.05303245410323143, 0.06153728812932968, 0.05812230706214905, 0.04635272175073624, 0.053872495889663696, 0.05683836713433266, 0.050391774624586105, 0.05850067362189293, 0.04996415972709656, 0.032185107469558716, 0.04246366024017334, 0.04471239820122719, 0.044605426490306854, 0.05289372801780701, 0.05171852186322212, 0.060452450066804886, 0.05121159926056862, 0.05354767665266991, 0.03823030740022659, 0.03131537139415741]"
1,4,4,50,2,0.2338481992483139,-113.38673400878906,0.2377539873123169,-141.74883775019978,0.22881029546260834,"[0.19576764106750488, 0.19540420174598694, 0.20596501231193542, 0.2342236042022705, 0.2543669641017914, 0.24315127730369568, 0.23129673302173615, 0.23279789090156555, 0.22872063517570496, 0.22536782920360565, 0.24350279569625854, 0.2266693264245987, 0.2216705083847046, 0.22693593800067902, 0.228441521525383, 0.22816510498523712, 0.23889607191085815, 0.2369743436574936, 0.24959900975227356, 0.2342032939195633, 0.2359819859266281, 0.22279809415340424, 0.22173675894737244]"
