Embedding,k,Hidden,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
3,2,10,0.02073092944920063,0.5269676446914673,0.02645576000213623,0.18744806164450925,0.021062610670924187,"[0.013592889532446861, 0.011880671605467796, 0.014633354730904102, 0.019940698519349098, 0.02651485987007618, 0.02480468712747097, 0.021907849237322807, 0.02155132032930851, 0.027243750169873238, 0.02153072878718376, 0.04701412096619606, 0.01554170623421669, 0.009880178608000278, 0.013556129299104214, 0.02230205200612545, 0.019736599177122116, 0.025192515924572945, 0.02128947526216507, 0.02568601444363594, 0.024930495768785477, 0.024752028286457062, 0.011411604471504688, 0.019546272233128548]"
3,3,10,0.023048829287290573,0.3687343895435333,0.03164328262209892,-0.050154995411182644,0.02592175453901291,"[0.01825679838657379, 0.016827791929244995, 0.029729293659329414, 0.02601333148777485, 0.05629833787679672, 0.02486424520611763, 0.026939215138554573, 0.01944379135966301, 0.03177754208445549, 0.0273627620190382, 0.032802995294332504, 0.017850549891591072, 0.01712164841592312, 0.022349467501044273, 0.022396966814994812, 0.030901731923222542, 0.0223078690469265, 0.02737615816295147, 0.030130429193377495, 0.025309650227427483, 0.03435404598712921, 0.014481265097856522, 0.021304504945874214]"
3,4,10,0.02582395263016224,0.18818803131580353,0.037207119166851044,-0.6603553691602492,0.03092753328382969,"[0.02076089382171631, 0.018663322553038597, 0.03170733526349068, 0.023546040058135986, 0.11435814201831818, 0.02891499549150467, 0.030269872397184372, 0.03399930149316788, 0.03126850724220276, 0.02647600695490837, 0.02872028946876526, 0.024662399664521217, 0.010497699491679668, 0.02428569830954075, 0.021583380177617073, 0.022962726652622223, 0.03917449712753296, 0.04352819547057152, 0.028392095118761063, 0.0347411073744297, 0.03081047348678112, 0.01991933211684227, 0.022091031074523926]"
3,2,20,0.019023949280381203,0.4848829209804535,0.027182389050722122,-0.021246019070263564,0.022843850776553154,"[0.016435304656624794, 0.011885001324117184, 0.019323961809277534, 0.022482341155409813, 0.03295949101448059, 0.026765502989292145, 0.020176909863948822, 0.02842305228114128, 0.02756980061531067, 0.02289196290075779, 0.023111797869205475, 0.015409075655043125, 0.009946225211024284, 0.01409572921693325, 0.025990407913923264, 0.026621704921126366, 0.03625655174255371, 0.026126064360141754, 0.022833114489912987, 0.026108557358384132, 0.02900618128478527, 0.022821946069598198, 0.018167870119214058]"
3,3,20,0.019855892285704613,0.29069754481315613,0.030492909252643585,-0.08358037435872483,0.025787686929106712,"[0.025879574939608574, 0.014559286646544933, 0.029066817834973335, 0.02688603289425373, 0.04013725742697716, 0.027241986244916916, 0.02905878983438015, 0.023832004517316818, 0.030959391966462135, 0.022984765470027924, 0.028751535341143608, 0.018219750374555588, 0.016355391591787338, 0.018333079293370247, 0.032415226101875305, 0.02233218215405941, 0.023509694263339043, 0.0424664244055748, 0.026217607781291008, 0.025608830153942108, 0.03248004615306854, 0.013565552420914173, 0.022255510091781616]"
3,4,20,0.021787267178297043,0.32437288761138916,0.03193645179271698,-0.0656129463142126,0.02771906740963459,"[0.027172120288014412, 0.022876154631376266, 0.03810049965977669, 0.02794315665960312, 0.029750458896160126, 0.03262529522180557, 0.028262078762054443, 0.024289824068546295, 0.042975328862667084, 0.02596299536526203, 0.0317770279943943, 0.015321583487093449, 0.017659591510891914, 0.018787706270813942, 0.026835935190320015, 0.033702537417411804, 0.024720449000597, 0.024457460269331932, 0.027394454926252365, 0.03726501762866974, 0.041118260473012924, 0.015808213502168655, 0.022732364013791084]"
3,2,50,0.01716691441833973,0.4011645019054413,0.02864292450249195,0.012792652126394233,0.027262967079877853,"[0.019621629267930984, 0.014946742914617062, 0.022199461236596107, 0.02875002659857273, 0.025317663326859474, 0.035439085215330124, 0.02071204036474228, 0.024435557425022125, 0.040825799107551575, 0.024929778650403023, 0.027065914124250412, 0.016040585935115814, 0.015160316601395607, 0.022885175421833992, 0.03578036278486252, 0.03319896012544632, 0.022122474387288094, 0.026777444407343864, 0.024982905015349388, 0.04247349873185158, 0.03985680639743805, 0.04434904828667641, 0.0191769078373909]"
3,3,50,0.018499448895454407,0.3002209961414337,0.03200085088610649,0.07007823565304151,0.028904210776090622,"[0.026663390919566154, 0.020052459090948105, 0.02959895133972168, 0.03344593942165375, 0.02716430276632309, 0.03585726395249367, 0.029129009693861008, 0.03261234983801842, 0.03836014121770859, 0.02910425141453743, 0.029319535940885544, 0.018442928791046143, 0.013957217335700989, 0.025728853419423103, 0.0366419292986393, 0.028904540464282036, 0.027544496580958366, 0.02996971644461155, 0.03342722728848457, 0.03775373473763466, 0.037105854600667953, 0.01869405061006546, 0.025318633764982224]"
3,4,50,0.02068152464926243,0.015477844513952732,0.037897538393735886,-0.3491275369009799,0.03650836646556854,"[0.03523876145482063, 0.02234295755624771, 0.022718990221619606, 0.03323625400662422, 0.043405577540397644, 0.05061179772019386, 0.05466625839471817, 0.035753246396780014, 0.04253006726503372, 0.036650869995355606, 0.041878893971443176, 0.018589463084936142, 0.018719501793384552, 0.04594935476779938, 0.05854329839348793, 0.03186959773302078, 0.02716456726193428, 0.032548144459724426, 0.042357008904218674, 0.05103340372443199, 0.042074888944625854, 0.019955532625317574, 0.031853996217250824]"
3,2,100,0.017062047496438026,0.44273442029953003,0.027700383216142654,0.09493110843457958,0.026477450504899025,"[0.02021986059844494, 0.014158492907881737, 0.02488362230360508, 0.03184298425912857, 0.02553710527718067, 0.03592228889465332, 0.023995762690901756, 0.023803681135177612, 0.03856854513287544, 0.02709841914474964, 0.026764623820781708, 0.01635359413921833, 0.011491816490888596, 0.01965373568236828, 0.03693188726902008, 0.02939778007566929, 0.0229467935860157, 0.026475034654140472, 0.02838105522096157, 0.040167395025491714, 0.04065961018204689, 0.02031257003545761, 0.0234147310256958]"
3,3,100,0.0184140894562006,0.19034028053283691,0.033448755741119385,-0.08501992859815101,0.030715029686689377,"[0.02399330586194992, 0.020046474412083626, 0.028665559366345406, 0.03352385014295578, 0.03897077590227127, 0.03576354682445526, 0.033541467040777206, 0.029667353257536888, 0.037227898836135864, 0.028772948309779167, 0.031841278076171875, 0.018996400758624077, 0.021413473412394524, 0.024848615750670433, 0.0337836854159832, 0.03516930714249611, 0.025382526218891144, 0.037775132805109024, 0.03416727855801582, 0.037369273602962494, 0.044401511549949646, 0.024475431069731712, 0.02664857544004917]"
3,4,100,0.021211842074990273,0.05577046051621437,0.03958622366189957,-0.3581880918127325,0.03518426790833473,"[0.025185473263263702, 0.01998625136911869, 0.022856809198856354, 0.03330416604876518, 0.04394790157675743, 0.04500840604305267, 0.04165680706501007, 0.05141831561923027, 0.037692468613386154, 0.031524933874607086, 0.06194929778575897, 0.02684340626001358, 0.02330086939036846, 0.02646462805569172, 0.04576630890369415, 0.033231642097234726, 0.03253054991364479, 0.03296877071261406, 0.03661029413342476, 0.04616263881325722, 0.03918692469596863, 0.02448425441980362, 0.027157150208950043]"
5,2,10,0.0211337823420763,0.4480055570602417,0.027401871979236603,0.10153229782683285,0.0222034715116024,"[0.015237431973218918, 0.021197371184825897, 0.017711374908685684, 0.02545253001153469, 0.026373229920864105, 0.027967406436800957, 0.01935390941798687, 0.028705058619379997, 0.03383193910121918, 0.029287191107869148, 0.022544924169778824, 0.014575239270925522, 0.013081050477921963, 0.015469735488295555, 0.015996800735592842, 0.0179931428283453, 0.024976639077067375, 0.027919083833694458, 0.02218623273074627, 0.025525469332933426, 0.028138356283307076, 0.015383257530629635, 0.021772420033812523]"
5,3,10,0.023728832602500916,0.25524699687957764,0.03276361525058746,-0.47397004230160744,0.026803655549883842,"[0.016933059319853783, 0.018015174195170403, 0.01586865447461605, 0.02660045586526394, 0.030120188370347023, 0.03275879845023155, 0.022585906088352203, 0.022371647879481316, 0.04213278740644455, 0.0291749220341444, 0.024117523804306984, 0.02454589679837227, 0.021603690460324287, 0.035296183079481125, 0.01735007017850876, 0.020302515476942062, 0.02319202572107315, 0.03842146322131157, 0.025320451706647873, 0.05738012492656708, 0.0343826562166214, 0.013362865895032883, 0.024647049605846405]"
5,4,10,0.02794441021978855,0.2459031492471695,0.03413302078843117,-0.1846782789680777,0.028675707057118416,"[0.03431589528918266, 0.023831075057387352, 0.029053358361124992, 0.023539843037724495, 0.03463742136955261, 0.03806467726826668, 0.025438863784074783, 0.0327046737074852, 0.040125127881765366, 0.03262954577803612, 0.0314461924135685, 0.026435477659106255, 0.013897745870053768, 0.017221542075276375, 0.02117951400578022, 0.02331598475575447, 0.02982795052230358, 0.027959506958723068, 0.030010702088475227, 0.030913440510630608, 0.039181821048259735, 0.030272984877228737, 0.023537950590252876]"
5,2,20,0.019446182996034622,0.44492366909980774,0.028325475752353668,-0.054606064301702,0.024271292611956596,"[0.01578710973262787, 0.019144050776958466, 0.016100719571113586, 0.02952328883111477, 0.03694523125886917, 0.028538519516587257, 0.016797011718153954, 0.028600098565220833, 0.03396551311016083, 0.030152617022395134, 0.027917928993701935, 0.020593859255313873, 0.016514373943209648, 0.019065478816628456, 0.01780792511999607, 0.021406283602118492, 0.023601742461323738, 0.02900383435189724, 0.023331772536039352, 0.028768574818968773, 0.027943052351474762, 0.02564486861228943, 0.021085944026708603]"
