Embedding,k,Hidden,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
3,2,10,0.010452479124069214,0.2037316858768463,0.011533454060554504,-0.13776682702234236,0.008577278815209866,"[0.003173612290993333, 0.0036202850751578808, 0.007158763241022825, 0.008609432727098465, 0.010261977091431618, 0.01214402075856924, 0.0066286902874708176, 0.008169366978108883, 0.011088619939982891, 0.009105045348405838, 0.010938449762761593, 0.011150790378451347, 0.004060990642756224, 0.007005535997450352, 0.008850748650729656, 0.007600998040288687, 0.007923337630927563, 0.008508400991559029, 0.00930389016866684, 0.01074502058327198, 0.011553524993360043, 0.009513042867183685, 0.010162873193621635]"
3,3,10,0.011243886314332485,-0.8579196333885193,0.016729889437556267,-2.009063886530582,0.013918344862759113,"[0.009519574232399464, 0.007230937946587801, 0.027448885142803192, 0.012914049439132214, 0.011703447438776493, 0.0179484561085701, 0.012454099021852016, 0.016760416328907013, 0.018627146258950233, 0.016899358481168747, 0.012833677232265472, 0.016633350402116776, 0.009784119203686714, 0.012017995119094849, 0.01532894279807806, 0.00822356529533863, 0.0122145414352417, 0.010341539978981018, 0.01927810348570347, 0.017016630619764328, 0.012667164206504822, 0.008036947809159756, 0.014239001087844372]"
3,4,10,0.012170860543847084,-0.3403097689151764,0.015136206522583961,-1.1131289314614323,0.011774713173508644,"[0.006926633883267641, 0.006897084414958954, 0.010801207274198532, 0.01168859377503395, 0.011171214282512665, 0.01496922131627798, 0.00962302926927805, 0.01215309463441372, 0.019282981753349304, 0.015930691733956337, 0.013135328888893127, 0.009361379779875278, 0.006123572122305632, 0.008288736455142498, 0.01967872865498066, 0.010128808207809925, 0.010312817990779877, 0.010149459354579449, 0.012574817053973675, 0.015397565439343452, 0.012395151890814304, 0.007257006596773863, 0.016571275889873505]"
3,2,20,0.009324874728918076,-0.5234893560409546,0.015375709161162376,-1.6518737960263326,0.01286640390753746,"[0.0056044068187475204, 0.004629896488040686, 0.010443946346640587, 0.019794968888163567, 0.018023531883955002, 0.013235569931566715, 0.008035503327846527, 0.011963038705289364, 0.01650702767074108, 0.017939206212759018, 0.01106133684515953, 0.013502337969839573, 0.004333922173827887, 0.008821424096822739, 0.011437601409852505, 0.015105715952813625, 0.019628413021564484, 0.010516275651752949, 0.010178990662097931, 0.015433943830430508, 0.021321645006537437, 0.011494158767163754, 0.016914449632167816]"
3,3,20,0.009732699953019619,-0.7033886313438416,0.01591675914824009,-1.7336823351798925,0.013343705795705318,"[0.007694378029555082, 0.007454404607415199, 0.00850478932261467, 0.012900362722575665, 0.010224007070064545, 0.02376473881304264, 0.007323162164539099, 0.011554092168807983, 0.012663690373301506, 0.014779196120798588, 0.014006415382027626, 0.010703912936151028, 0.00824721995741129, 0.01465242076665163, 0.020761417225003242, 0.015986096113920212, 0.012424896471202374, 0.008721159771084785, 0.010017277672886848, 0.021306795999407768, 0.01942068710923195, 0.01203513890504837, 0.021758992224931717]"
3,4,20,0.010737847536802292,-0.2697848975658417,0.013701248914003372,-0.7044725438033973,0.01048276387155056,"[0.0060051134787499905, 0.00444619869813323, 0.006991033907979727, 0.010450394824147224, 0.014475075528025627, 0.013472285121679306, 0.007632935885339975, 0.01228110771626234, 0.012491713277995586, 0.013605118729174137, 0.012474510818719864, 0.011681748554110527, 0.0058520762249827385, 0.010546470992267132, 0.00976577028632164, 0.011059131473302841, 0.00981985405087471, 0.01099735964089632, 0.009775013662874699, 0.013130025006830692, 0.013692270964384079, 0.008022659458220005, 0.01243568491190672]"
3,2,50,0.008578428998589516,-0.4368067681789398,0.015469749458134174,-1.6687527388968963,0.012510721571743488,"[0.005176178645342588, 0.005346719641238451, 0.011023997329175472, 0.012410925701260567, 0.015826644375920296, 0.015808533877134323, 0.007844217121601105, 0.012847762554883957, 0.015022375620901585, 0.012403962202370167, 0.019510548561811447, 0.012476411648094654, 0.005394252482801676, 0.02381124719977379, 0.01452888734638691, 0.010545809753239155, 0.013763695023953915, 0.011264078319072723, 0.009761620312929153, 0.013425527140498161, 0.013870354741811752, 0.011625951156020164, 0.014056917279958725]"
3,3,50,0.008945247158408165,-0.6000566482543945,0.015936944633722305,-1.933257227537655,0.013897472992539406,"[0.00506324740126729, 0.007068144157528877, 0.012003742158412933, 0.012721517123281956, 0.016436200588941574, 0.014206798747181892, 0.012874644249677658, 0.011474919505417347, 0.014392152428627014, 0.010997019708156586, 0.01629890687763691, 0.01783701404929161, 0.01661866530776024, 0.019778955727815628, 0.027230622246861458, 0.01363528985530138, 0.012925812043249607, 0.011361905373632908, 0.010638107545673847, 0.012494849972426891, 0.015237467363476753, 0.014106301590800285, 0.014239631593227386]"
3,4,50,0.009898928925395012,-0.30718931555747986,0.014517131261527538,-1.422836986988121,0.011846138164401054,"[0.004151563160121441, 0.004107440356165171, 0.00833495520055294, 0.011237271130084991, 0.009837557561695576, 0.018115248531103134, 0.009018173441290855, 0.012950892560184002, 0.015974711626768112, 0.011623287573456764, 0.013257167302072048, 0.011018161661922932, 0.006243499927222729, 0.019442785531282425, 0.017995990812778473, 0.011321046389639378, 0.010021451860666275, 0.010626059956848621, 0.010343337431550026, 0.01804833859205246, 0.017208224162459373, 0.009283765219151974, 0.012300286442041397]"
3,2,100,0.00842607393860817,-0.9557400941848755,0.018587833270430565,-2.6598264955092943,0.016134046018123627,"[0.007857073098421097, 0.006056151352822781, 0.01204822026193142, 0.013230864889919758, 0.015312230214476585, 0.01724478229880333, 0.020205626264214516, 0.016083823516964912, 0.015471736900508404, 0.01977977715432644, 0.013478487730026245, 0.019224271178245544, 0.011925979517400265, 0.015217781998217106, 0.017166486009955406, 0.01779746823012829, 0.012978614307940006, 0.011778346262872219, 0.01988695003092289, 0.024487240239977837, 0.02055475488305092, 0.024096034467220306, 0.019200356677174568]"
