Embedding,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
10,0.009385189972817898,-1.7064695358276367,0.009746594354510307,-1.876683683964485,0.007083203177899122,"[0.0031254158820956945, 0.003084111725911498, 0.003997692838311195, 0.007415417581796646, 0.00871796254068613, 0.011121479794383049, 0.005005909129977226, 0.007772507146000862, 0.01028889324516058, 0.008312474936246872, 0.010868651792407036, 0.009273458272218704, 0.0027313653845340014, 0.004768208600580692, 0.005218271631747484, 0.005305351689457893, 0.007281383499503136, 0.007629932835698128, 0.008382686413824558, 0.009024693630635738, 0.009801614098250866, 0.00392893236130476, 0.009857244789600372]"
20,0.008814073167741299,-1.932075023651123,0.009919601492583752,-2.1910772894138257,0.007408853154629469,"[0.0037873208057135344, 0.0037382119335234165, 0.004584657493978739, 0.007670679595321417, 0.008770471438765526, 0.01123175397515297, 0.005331449676305056, 0.00800433661788702, 0.010472835041582584, 0.008584734983742237, 0.010991282761096954, 0.009541249834001064, 0.0031454041600227356, 0.005152593366801739, 0.005571714136749506, 0.00566063541918993, 0.0074924384243786335, 0.007858917117118835, 0.008486935868859291, 0.009256714954972267, 0.010050423443317413, 0.004359115846455097, 0.01065975334495306]"
40,0.008173521608114243,-2.4459941387176514,0.010704420506954193,-2.8879695086086175,0.008233432658016682,"[0.004583436530083418, 0.004538966342806816, 0.005402121692895889, 0.008452756330370903, 0.009412678889930248, 0.012005585245788097, 0.006154409609735012, 0.0087879728525877, 0.011290132068097591, 0.00943607185035944, 0.011754952371120453, 0.010375452227890491, 0.004125326871871948, 0.006048539653420448, 0.0064473338425159454, 0.006536849308758974, 0.008273902349174023, 0.008661543019115925, 0.009181979112327099, 0.010086607187986374, 0.010889389552175999, 0.005275788251310587, 0.011647198349237442]"
60,0.008056651800870895,-2.605437994003296,0.010974833741784096,-3.1055327616284814,0.008503866381943226,"[0.004945093300193548, 0.0049020941369235516, 0.005752694793045521, 0.008737603202462196, 0.009642785415053368, 0.012239191681146622, 0.006437511183321476, 0.009074226021766663, 0.011568112298846245, 0.00971002597361803, 0.011987622827291489, 0.010664153844118118, 0.004388619214296341, 0.006310991942882538, 0.006705875508487225, 0.006793801672756672, 0.008525528945028782, 0.008907169103622437, 0.009418386034667492, 0.010326743125915527, 0.011130436323583126, 0.005539689213037491, 0.011880608275532722]"
