Embedding,k,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
5,2,0.006883108988404274,0.8131635785102844,0.009891844354569912,0.8209915253055318,0.010179652832448483,"[0.004937756806612015, 0.006166277453303337, 0.016876190900802612, 0.008482844568789005, 0.01385421771556139, 0.01123233512043953, 0.008476628921926022, 0.012469819746911526, 0.015544752590358257, 0.010337739251554012, 0.010455125942826271, 0.006680193357169628, 0.0071462607011199, 0.0042669870890676975, 0.005737872328609228, 0.010913868434727192, 0.020250217989087105, 0.011123624630272388, 0.01090873684734106, 0.010463076643645763, 0.012677044607698917, 0.006422695238143206, 0.008707749657332897]"
5,3,0.008017182350158691,0.7534903287887573,0.012783626094460487,0.7604760487313478,0.013058390468358994,"[0.005707760341465473, 0.01155940257012844, 0.013823040761053562, 0.013048418797552586, 0.02280917763710022, 0.017002282664179802, 0.007894403301179409, 0.022479120641946793, 0.01914406381547451, 0.011438111774623394, 0.017061056569218636, 0.01111874170601368, 0.007121876813471317, 0.007272148504853249, 0.015619703568518162, 0.007152733393013477, 0.017603103071451187, 0.014693699777126312, 0.014954921789467335, 0.014328372664749622, 0.01150392834097147, 0.006672834977507591, 0.010334121994674206]"
5,4,0.008890468627214432,0.7197990417480469,0.01426790188997984,0.7581356288221774,0.013462534174323082,"[0.004913490265607834, 0.012846958823502064, 0.01232211571186781, 0.010630670003592968, 0.014400964602828026, 0.01926439069211483, 0.016335994005203247, 0.011959405615925789, 0.013664526864886284, 0.01930101588368416, 0.022984057664871216, 0.007475073449313641, 0.016907764598727226, 0.006096607074141502, 0.006267888005822897, 0.029675161466002464, 0.012564485892653465, 0.01235097274184227, 0.009006463922560215, 0.008972256444394588, 0.019112028181552887, 0.007403680123388767, 0.015182288363575935]"
10,2,0.007710812613368034,0.7811920046806335,0.01141516212373972,0.8217832789415908,0.010690715163946152,"[0.006368723697960377, 0.01242134440690279, 0.008423468098044395, 0.014764394611120224, 0.012702714651823044, 0.0115206902846694, 0.008901202119886875, 0.01146392710506916, 0.025540316477417946, 0.010329066775739193, 0.01122121699154377, 0.006149108987301588, 0.005082933697849512, 0.004724204074591398, 0.006588891614228487, 0.006290082819759846, 0.01623557321727276, 0.011811471544206142, 0.01406802237033844, 0.013459793291985989, 0.009590298868715763, 0.007837320677936077, 0.01039169728755951]"
10,3,0.01023293100297451,0.6494879722595215,0.017086686566472054,0.7109002552778926,0.015685079619288445,"[0.008616503328084946, 0.007698825094848871, 0.02998482994735241, 0.011574028991162777, 0.01714780181646347, 0.014892779290676117, 0.008540921844542027, 0.017880208790302277, 0.025605548173189163, 0.024523651227355003, 0.025317775085568428, 0.020405538380146027, 0.006538772955536842, 0.009292387403547764, 0.012017872184515, 0.011929157190024853, 0.02489464171230793, 0.010350916534662247, 0.027404773980379105, 0.015497423708438873, 0.01479728426784277, 0.006853360217064619, 0.008991879411041737]"
10,4,0.012255656532943249,0.546798050403595,0.021676408126950264,0.6691487156123057,0.01809590868651867,"[0.009639150463044643, 0.030835118144750595, 0.015550823882222176, 0.01094068307429552, 0.02663435786962509, 0.014233611524105072, 0.011242994107306004, 0.019146865233778954, 0.05443550646305084, 0.012500728480517864, 0.015263088978827, 0.010256756097078323, 0.009078576229512691, 0.011660265736281872, 0.0172853022813797, 0.016146928071975708, 0.03572972118854523, 0.024190528318285942, 0.019180135801434517, 0.013689562678337097, 0.017675209790468216, 0.008409538306295872, 0.012480426579713821]"
15,2,0.009738174267113209,0.6390782594680786,0.01748530939221382,0.6846696614079839,0.016942495480179787,"[0.008995430544018745, 0.012675877660512924, 0.01790492981672287, 0.01673312298953533, 0.021270031109452248, 0.015131484717130661, 0.02424825355410576, 0.013869348913431168, 0.013267873786389828, 0.019478360190987587, 0.01876869425177574, 0.016153478994965553, 0.01300462894141674, 0.008055922575294971, 0.013993662782013416, 0.018756799399852753, 0.01913118176162243, 0.04226024076342583, 0.016997376456856728, 0.014157835394144058, 0.021106183528900146, 0.013617967255413532, 0.01009872555732727]"
15,3,0.016709476709365845,0.5565285682678223,0.02266456000506878,0.587946936749236,0.022500382736325264,"[0.02257893607020378, 0.007742374669760466, 0.03589669615030289, 0.01613483764231205, 0.019004959613084793, 0.02239113301038742, 0.01801806502044201, 0.027516473084688187, 0.019389109686017036, 0.015302862040698528, 0.017293788492679596, 0.016066383570432663, 0.01600296050310135, 0.011180393397808075, 0.021607806906104088, 0.019555561244487762, 0.029770083725452423, 0.02475118823349476, 0.029152654111385345, 0.01767868921160698, 0.03298154100775719, 0.012089365161955357, 0.06540297716856003]"
15,4,0.026836618781089783,0.19173507392406464,0.04066115617752075,0.3321051505198291,0.03395980969071388,"[0.02599252574145794, 0.0206013023853302, 0.03859439119696617, 0.021629713475704193, 0.02516547217965126, 0.027050286531448364, 0.010114307515323162, 0.02398640848696232, 0.022425681352615356, 0.08209850639104843, 0.026538770645856857, 0.013101620599627495, 0.025027506053447723, 0.025080129504203796, 0.03277213126420975, 0.020636776462197304, 0.03676946088671684, 0.017238257452845573, 0.1597830355167389, 0.02554274909198284, 0.023148169741034508, 0.019919639453291893, 0.057858794927597046]"
