Modelo,Params,Fichero_resultados_experimento,Loss_tst,Loss_eval,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
MPNN_LSTM,"{'Hidden Size': 64, 'Dropout': 0.2}",../experimentos_split/results/clasificacion/ajustes/MPNN_LSTM_results.csv,1.3487375974655151,1.2868552207946775,1.270142912864685,0.6,0.4386299974535269,0.498128078817734,0.4351527564430791,0.5357142857142857,0.3381818181818182,0.4755172413793104,0.3881720430107526
LSTM_BATCH,"{'Hidden Size': 150, 'Layers': 1}",../experimentos_split/results/clasificacion/ajustes/LSTM_BATCH_results.csv,1.1633765697479248,1.2131400108337402,1.0757312774658203,0.671875,0.6306666666666667,0.6711396011396011,0.6350283400809716,0.765625,0.7055411255411256,0.6994047619047619,0.6989878751449579
LSTM_NOBATCH,"{'Hidden Size': 150, 'Layers': 2}",../experimentos_split/results/clasificacion/ajustes/LSTM_BATCH_results.csv,1.1606080532073977,1.194841384887695,1.076454997062683,0.7066666666666667,0.6660843731431967,0.6850246305418719,0.6676484998293766,0.7380952380952381,0.6881720430107526,0.6777979431336962,0.681842715580856
AGCRN,"{'hidden': 50, 'Embedding': 5, 'K': 2}",../experimentos_split/results/clasificacion/ajustes/AGCRN_results.csv,1.344169855117798,1.2938288450241089,1.2540515661239624,0.5833333333333334,0.3993055555555555,0.4818155025051576,0.4212654958390158,0.5476190476190477,0.3270385395537525,0.4955172413793103,0.3898809523809524
DyGrEncoder,"{'aggr': 'mean', 'conv': 2, 'lstm': 1, 'lstm_out': 900}",../experimentos_split/results/clasificacion/ajustes/DyGrEncoder_results.csv,1.278305172920227,1.244017243385315,1.0191569328308103,0.6266666666666667,0.5230392156862745,0.498103448275862,0.5048850574712644,0.6309523809523809,0.5860956690368455,0.5763278886872353,0.575
MSTGCN,"{'nb_block': 2, 'nb_chev_filter': 4, 'nb_time_filter': 4, 'time_strides': 2, 'hidden': 80}",../experimentos_split/results/clasificacion/ajustes/MSTGCN_results.csv,1.1158732175827026,1.1700890064239502,1.0194082260131836,0.7466666666666667,0.6997435897435899,0.7204926108374383,0.7070394514462311,0.8095238095238095,0.7311904761904762,0.7208812260536399,0.717359101129593
DCRNN,{'hidden': 60},../experimentos_split/results/clasificacion/ajustes/DCRNN_results.csv,1.3657785654067993,1.2970181703567505,1.285657286643982,0.6,0.4386029411764706,0.4981280788177339,0.4189539194068961,0.5476190476190477,0.32703853955375256,0.4955172413793103,0.3898809523809524
