nb_block,nb_chev_filter,nb_time_filter,time_strides,hidden,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
1,2,2,2,20,1.507345199584961,0.3923076923076923,0.0845543543276337,0.20604395604395606,0.11854813726729473,1.445253849029541,1.4986162185668945,0.4642857142857143,0.21029411764705883,0.3666666666666667,0.26244477172312225
1,2,2,2,50,1.158976674079895,0.5512820512820513,0.3410884819886479,0.4177567260325881,0.3628773848138425,1.296897053718567,1.363026738166809,0.5238095238095238,0.36721247563352827,0.4593103448275862,0.399334156286238
1,2,2,2,80,1.1619999408721924,0.6074358974358973,0.4173124326960704,0.490934065934066,0.429774637314537,1.2413511276245117,1.2282203435897827,0.6785714285714286,0.5256400742115027,0.5611111111111111,0.5275999362955884
1,2,2,2,100,1.4101788997650146,0.5261538461538462,0.19880673121560916,0.34989010989010993,0.25007556531423003,1.34286367893219,1.4160711765289307,0.4880952380952381,0.2212121212121212,0.4,0.28210526315789475
1,2,2,5,20,1.2104405164718628,0.5669230769230771,0.33079983598965335,0.43261083743842377,0.36670270430878826,1.2909761667251587,1.3391468524932861,0.5595238095238095,0.40478424015009384,0.4973180076628352,0.4381831501831502
1,2,2,5,50,1.5635024309158325,0.38666666666666666,0.07733333333333334,0.19999999999999993,0.11153846153846152,1.5307574272155762,1.5548322200775146,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
1,2,2,5,80,1.5638964176177979,0.38666666666666666,0.07733333333333334,0.19999999999999993,0.11153846153846152,1.5310455560684204,1.5552117824554443,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
1,2,2,5,100,1.1796636581420898,0.6056410256410256,0.4243293137576546,0.4778344069723379,0.43156165796055845,1.242236614227295,1.3061761856079102,0.5595238095238095,0.46860290971330765,0.49696309739866906,0.4636658141517477
1,2,2,10,20,1.5631262063980103,0.38666666666666666,0.07733333333333334,0.19999999999999993,0.11153846153846152,1.5302973985671997,1.5543038845062256,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
1,2,2,10,50,1.2624351978302002,0.5525641025641026,0.32533547783287775,0.392092175066313,0.3362918643273042,1.35553777217865,1.3220231533050537,0.6428571428571429,0.6716783216783216,0.6146985279290179,0.6197478991596639
1,2,2,10,80,1.262012243270874,0.5535897435897437,0.3050653702489391,0.394278135657446,0.3174836156539654,1.2793153524398804,1.2537329196929932,0.7142857142857143,0.5768474215842636,0.617251461988304,0.5617111271329007
1,2,2,10,100,1.5637141466140747,0.38666666666666666,0.07733333333333334,0.19999999999999993,0.11153846153846152,1.5309174060821533,1.5550806522369385,0.34523809523809523,0.06904761904761905,0.2,0.10265486725663715
1,2,2,20,20,1.3294286727905273,0.5138461538461538,0.2621235954401629,0.3906972338006821,0.30336294980315465,1.3073810338974,1.3976870775222778,0.5,0.3020833333333333,0.46793103448275863,0.35862200632146113
1,2,2,20,50,1.3857197761535645,0.5476923076923078,0.27076353621800564,0.3725274725274726,0.2859966840571053,1.3587244749069214,1.4174600839614868,0.4642857142857143,0.2618032786885246,0.38754789272030654,0.30483660130718954
1,2,2,20,80,1.4412559270858765,0.44102564102564096,0.12636752094305312,0.25824175824175827,0.16680090504857267,1.3728575706481934,1.4340932369232178,0.47619047619047616,0.21597892888498685,0.3833333333333333,0.2725574712643678
1,2,2,20,100,1.3353452682495117,0.5005128205128204,0.24096898563386188,0.36505305039787805,0.28178640153048556,1.3161211013793945,1.391610860824585,0.5,0.2980177653108929,0.46793103448275863,0.3568253968253968
1,4,4,2,20,1.1991856098175049,0.5984615384615385,0.429997362895017,0.47934255399772646,0.41817364009988733,1.2822245359420776,1.3467539548873901,0.5476190476190477,0.4228571428571429,0.5155172413793103,0.456484794275492
1,4,4,2,50,1.3440008163452148,0.5574358974358975,0.3070688124653117,0.3829670329670329,0.30391287522120813,1.3424161672592163,1.433042287826538,0.4642857142857143,0.25923076923076926,0.37222222222222223,0.287506819421713
1,4,4,2,80,1.344939947128296,0.5453846153846155,0.282804449135164,0.370054945054945,0.295724043229804,1.3443683385849,1.4230971336364746,0.4642857142857143,0.28006617038875103,0.3931034482758621,0.31774358974358974
1,4,4,2,100,1.3801403045654297,0.5407692307692307,0.25095760989965615,0.36510989010989015,0.27834704616488215,1.3302990198135376,1.4253770112991333,0.47619047619047616,0.2808974358974359,0.3888888888888889,0.2995947315096251
1,4,4,5,20,1.2389729022979736,0.6012820512820511,0.41569576812220954,0.4815782493368701,0.4149254554548451,1.2833349704742432,1.336011290550232,0.5476190476190477,0.3882706766917293,0.4904214559386973,0.428300803673938
