gcn_depth,conv_channels,kernel_size,dropout,gcn_true,build_adj,propalpha,out_channels,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
2,4,3,0.25,True,True,0.15,16,1.561545968055725,0.3780487804878049,0.07560975609756099,0.19999999999999993,0.1097345132743363,1.5394150018692017,1.5509220361709595,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
1,16,3,0.25,True,True,0.15,4,1.576008915901184,0.3780487804878049,0.07560975609756099,0.19999999999999993,0.1097345132743363,1.5267835855484009,1.5554348230361938,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
3,8,3,0.25,True,True,0.15,8,1.2690916061401367,0.576688555347092,0.3359757546565069,0.4437203003616667,0.35834868034897305,1.2331613302230835,1.2273861169815063,0.7108433734939759,0.5477743378052975,0.6116959064327485,0.5397369344737766
1,8,3,0.25,True,True,0.15,16,1.3601815700531006,0.5408067542213885,0.2620921375903249,0.3629864253393664,0.28407943954601383,1.3223838806152344,1.4368486404418945,0.4578313253012048,0.2568986568986569,0.3717171717171717,0.2927536231884058
3,4,3,0.25,True,True,0.15,8,1.2535114288330078,0.4322232645403377,0.3101432987370289,0.4552119722992589,0.3237740914810043,1.2858773469924927,1.2942047119140625,0.7349397590361446,0.5862745098039216,0.6636418632788867,0.6158730158730158
1,8,3,0.25,True,True,0.15,16,1.2052907943725586,0.5802063789868668,0.3285354533976239,0.42374032987884974,0.3562704062752301,1.275261640548706,1.3545722961425781,0.5542168674698795,0.4050595238095238,0.50413096482062,0.4378012162387589
3,16,3,0.25,True,True,0.15,8,1.4360624551773071,0.522279549718574,0.19730734469510305,0.3576923076923077,0.25380463154983257,1.3672720193862915,1.4709302186965942,0.43373493975903615,0.167008547008547,0.3555555555555555,0.22710795902285263
1,4,3,0.25,True,True,0.15,16,1.2597074508666992,0.6102251407129456,0.35383107967415495,0.47390421511863645,0.38282174008807507,1.2193655967712402,1.2135121822357178,0.7108433734939759,0.43925303454715225,0.6,0.5038996138996139
3,8,3,0.25,True,True,0.15,16,1.2991023063659668,0.5480769230769231,0.23919962504801087,0.3817622731474723,0.2852326587509996,1.2773816585540771,1.3303990364074707,0.5903614457831325,0.33708133971291865,0.5151515151515151,0.40652315720808874
1,16,3,0.25,True,True,0.15,8,1.3102294206619263,0.5898217636022514,0.28968217739912017,0.4391813036215313,0.3413270287923042,1.2921762466430664,1.35087251663208,0.6024096385542169,0.34711047345767576,0.5284848484848486,0.4185714285714285
1,16,3,0.25,True,True,0.15,16,1.576008915901184,0.3780487804878049,0.07560975609756099,0.19999999999999993,0.1097345132743363,1.5267835855484009,1.5554348230361938,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
1,4,3,0.25,True,True,0.15,16,1.2597074508666992,0.6102251407129456,0.35383107967415495,0.47390421511863645,0.38282174008807507,1.2193655967712402,1.2135121822357178,0.7108433734939759,0.43925303454715225,0.6,0.5038996138996139
1,4,3,0.25,True,True,0.15,8,1.3825974464416504,0.553705440900563,0.23147673945815375,0.3696983408748115,0.2740202417490639,1.3228542804718018,1.4130916595458984,0.5180722891566265,0.37956349206349205,0.4666666666666666,0.38135761179239436
1,8,3,0.25,True,True,0.15,16,1.2052907943725586,0.5802063789868668,0.3285354533976239,0.42374032987884974,0.3562704062752301,1.275261640548706,1.3545722961425781,0.5542168674698795,0.4050595238095238,0.50413096482062,0.4378012162387589
3,8,3,0.25,True,True,0.15,4,1.4089248180389404,0.5590994371482177,0.21940844345484578,0.3746606334841628,0.2755566140814531,1.3301435708999634,1.421695590019226,0.4819277108433735,0.20206349206349206,0.4,0.26802244039270684
2,16,3,0.25,True,True,0.15,16,1.105075478553772,0.6207786116322702,0.4123253845640709,0.5203542872897713,0.4463903039433494,1.1640194654464722,1.0647106170654297,0.8433734939759037,0.6733333333333333,0.7466666666666667,0.6991045991045991
3,4,3,0.25,True,True,0.15,4,1.3237189054489136,0.5445590994371483,0.2478227857757858,0.4190363126226505,0.3033174896070596,1.2773921489715576,1.291013240814209,0.7108433734939759,0.43925303454715225,0.6,0.5038996138996139
2,4,3,0.25,True,True,0.15,8,1.5621567964553833,0.3367729831144466,0.06735459662288931,0.19999999999999993,0.09960629644965018,1.5343973636627197,1.5534324645996094,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
1,4,3,0.25,True,True,0.15,4,1.3652288913726807,0.5241557223264541,0.18779809162423391,0.34105240110932705,0.23986789621077045,1.3055957555770874,1.3974928855895996,0.46987951807228917,0.18,0.38181818181818183,0.24444444444444446
1,4,3,0.25,True,True,0.15,4,1.3652288913726807,0.5241557223264541,0.18779809162423391,0.34105240110932705,0.23986789621077045,1.3055957555770874,1.3974928855895996,0.46987951807228917,0.18,0.38181818181818183,0.24444444444444446
3,16,3,0.25,True,True,0.15,4,1.214683175086975,0.574343339587242,0.3455578084875483,0.46777356103731815,0.3810137581742338,1.2934231758117676,1.3597124814987183,0.5421686746987951,0.3882633053221288,0.4980424939045629,0.4142303433001107
3,8,3,0.25,True,True,0.15,4,1.2905242443084717,0.5046904315196998,0.27590917150806926,0.4284615384615384,0.33050560660967654,1.3436036109924316,1.406238317489624,0.5060240963855421,0.2797270955165692,0.4524137931034483,0.34290452499407725
2,16,3,0.25,True,True,0.15,16,1.105075478553772,0.6207786116322702,0.4123253845640709,0.5203542872897713,0.4463903039433494,1.1640194654464722,1.0647106170654297,0.8433734939759037,0.6733333333333333,0.7466666666666667,0.6991045991045991
1,4,3,0.25,True,True,0.15,8,1.5624048709869385,0.3780487804878049,0.07560975609756099,0.19999999999999993,0.1097345132743363,1.536681890487671,1.5506452322006226,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
2,4,3,0.25,True,True,0.15,16,1.30769681930542,0.5476078799249531,0.23011987467780715,0.3793227266092542,0.28325334658754026,1.3009306192398071,1.3529143333435059,0.5662650602409639,0.3295518207282913,0.5013584117032392,0.39753392147758343
2,4,3,0.25,True,True,0.15,4,1.5620300769805908,0.3517823639774859,0.0703564727954972,0.19999999999999993,0.10341949103011051,1.5333482027053833,1.552029013633728,0.3493975903614458,0.06987951807228916,0.2,0.10357142857142858
