nb_block,nb_chev_filter,nb_time_filter,time_strides,loss_final,r2_eval_final,loss_eval_final,r2_test,loss_test,loss_nodes
1,2,2,1,0.034932661801576614,-15.683688163757324,0.0346081517636776,-17.09220489409117,0.03888227418065071,"[[0.03781733289361, 0.039277467876672745, 0.037864625453948975, 0.0378858782351017, 0.04049260541796684, 0.03772544488310814, 0.03941949084401131, 0.044439300894737244, 0.03763433173298836, 0.03874603658914566, 0.039681918919086456, 0.03816336393356323, 0.040146999061107635, 0.03693939000368118, 0.03737672418355942, 0.03765488788485527, 0.03773212060332298, 0.038501255214214325, 0.042054906487464905, 0.038091275840997696]]"
1,2,2,2,0.039539556950330734,-17.591629028320312,0.04156181216239929,-19.155200757979962,0.046762533485889435,"[[0.046773869544267654, 0.05102876201272011, 0.0452590137720108, 0.04834679514169693, 0.05009850114583969, 0.04767715930938721, 0.04855155572295189, 0.0442708320915699, 0.04917525500059128, 0.04376082867383957, 0.051705460995435715, 0.04341428354382515, 0.045900747179985046, 0.04337659105658531, 0.04674416407942772, 0.04366837069392204, 0.04508896544575691, 0.04831133410334587, 0.04780202731490135, 0.044296082109212875]]"
1,2,2,4,0.040344592183828354,-18.25450897216797,0.04298634082078934,-19.725502282263985,0.04817444458603859,"[[0.04794599488377571, 0.04824544116854668, 0.047964900732040405, 0.048344552516937256, 0.047871094197034836, 0.048625778406858444, 0.04898039251565933, 0.048394959419965744, 0.04843932017683983, 0.047844331711530685, 0.048054568469524384, 0.047834839671850204, 0.048717133700847626, 0.04768028482794762, 0.04770046845078468, 0.04761283099651337, 0.04770758002996445, 0.04849787801504135, 0.04852154105901718, 0.048505157232284546]]"
1,4,4,1,0.10812485963106155,-89.80982208251953,0.10898347944021225,-99.0853661516336,0.11570777744054794,"[[0.0022276220843195915, 0.0019328856142237782, 0.002428867155686021, 0.003514258423820138, 0.004777643829584122, 1.1023434400558472, 0.0034074136056005955, 0.005572906695306301, 0.004294038284569979, 0.004782638978213072, 1.1062639951705933, 0.0050002955831587315, 0.007308534812182188, 0.006842505186796188, 0.007770843338221312, 0.00937262736260891, 0.009602743200957775, 0.008717290125787258, 0.008025082759559155, 0.009970376268029213]]"
1,4,4,2,0.21253840625286102,-177.83656311035156,0.21519389748573303,-196.85946711425132,0.22861436009407043,"[[1.1002461910247803, 0.002889505121856928, 0.005032855551689863, 0.00459732860326767, 0.013241659849882126, 0.0077869826927781105, 0.004788579884916544, 0.006632118485867977, 0.004565227311104536, 0.011060415767133236, 0.006663705687969923, 0.009841817431151867, 0.019152630120515823, 0.010780108161270618, 1.1079872846603394, 0.015130650252103806, 0.010578430257737637, 1.109832525253296, 1.1102263927459717, 0.011252648197114468]]"
1,4,4,4,0.10903703421354294,-90.6941909790039,0.11011774092912674,-99.99328576683082,0.11739373952150345,"[[0.004226452670991421, 0.004007302690297365, 0.004212584812194109, 0.004017386119812727, 0.005058787763118744, 0.006491295527666807, 0.005990347824990749, 0.005214076954871416, 0.008872685953974724, 0.005854176823049784, 1.1062639951705933, 0.008101687766611576, 1.1068673133850098, 0.007702905219048262, 0.009368222206830978, 0.009622195735573769, 0.010034550912678242, 0.012218649499118328, 0.011834952980279922, 0.011915653012692928]]"
1,8,8,1,0.21066367626190186,-177.61605834960938,0.212714284658432,-195.7732518291209,0.22528553009033203,"[[0.0013243042631074786, 0.002730000764131546, 1.1014405488967896, 0.0026088629383593798, 0.003484169952571392, 0.0026683050673455, 0.004515655804425478, 0.0054421694949269295, 1.1048777103424072, 0.0032196366228163242, 1.1062639951705933, 0.005428446922451258, 0.006915203295648098, 0.00524944020435214, 1.1079872846603394, 0.008546177297830582, 0.008494907990098, 0.006755489390343428, 0.0073467399924993515, 0.010411477647721767]]"
1,8,8,2,0.1591878980398178,-133.26095581054688,0.1607147604227066,-147.25511346489748,0.1706395000219345,"[[0.002406394574791193, 0.003705947659909725, 0.0029278111178427935, 0.00280141388066113, 0.0032887367997318506, 0.003808480454608798, 1.103119969367981, 0.003880746429786086, 0.003872878849506378, 0.0041884626261889935, 0.006032501347362995, 0.005491890944540501, 0.005351799540221691, 1.1077286005020142, 0.006206344813108444, 1.1091620922088623, 0.007341706659644842, 0.008044298738241196, 0.01369467843323946, 0.009737156331539154]]"
1,8,8,4,0.005543844308704138,-2.3757424354553223,0.005475478712469339,-2.8012674221648792,0.006563199684023857,"[[0.004176687449216843, 0.0035817704629153013, 0.0059911333955824375, 0.004413645714521408, 0.0034943330101668835, 0.0032049526926130056, 0.005631810519844294, 0.0036603170447051525, 0.005372357554733753, 0.005720079876482487, 0.008340444415807724, 0.0069420794025063515, 0.007587714120745659, 0.007562842220067978, 0.008201681077480316, 0.007397085893899202, 0.010860118083655834, 0.00964493490755558, 0.008983551524579525, 0.010496454313397408]]"
2,2,2,1,0.08899182081222534,-60.87843322753906,0.0916096568107605,-66.4949568105211,0.0991298258304596,"[[0.04598051682114601, 1.100142240524292, 0.045818030834198, 0.04601648077368736, 0.04727404937148094, 0.046931423246860504, 0.047193288803100586, 0.046538546681404114, 0.046936050057411194, 0.0463261641561985, 0.046306174248456955, 0.04622785747051239, 0.04689320549368858, 0.04615887254476547, 0.045845646411180496, 0.04640145227313042, 0.045646797865629196, 0.04674626141786575, 0.04662329703569412, 0.0465908981859684]]"
2,2,2,2,0.08991537243127823,-61.51036834716797,0.09307625144720078,-67.25873779907295,0.1009078398346901,"[[1.1002461910247803, 0.04842270538210869, 0.048026252537965775, 0.04828871414065361, 0.04835401475429535, 0.048527348786592484, 0.04926437512040138, 0.048509422689676285, 0.04853305220603943, 0.048406004905700684, 0.047850098460912704, 0.04831754043698311, 0.048818692564964294, 0.04766611009836197, 0.04787717014551163, 0.048021238297224045, 0.047552693635225296, 0.048387911170721054, 0.048464562743902206, 0.048622410744428635]]"
