Embedding,k,Hidden,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
2,10,3,0.07013145089149475,-1.7970811128616333,0.0747881606221199,-4.190842451382184,0.06360315531492233,"[0.031041309237480164, 0.018712492659687996, 0.026162374764680862, 0.033205654472112656, 0.04673608019948006, 0.034755539149045944, 0.03551851585507393, 0.19926775991916656, 0.04865141957998276, 0.027923602610826492, 0.03433911129832268, 0.02077331766486168, 0.17343151569366455, 0.023655148223042488, 0.02394498698413372, 0.08170365542173386, 0.046295758336782455, 0.18711963295936584, 0.23046134412288666, 0.03651795908808708, 0.035138342529535294, 0.02591570094227791, 0.04160131514072418]"
3,10,3,0.05507996305823326,-0.8020204305648804,0.06269825994968414,-1.519240002546731,0.04188528284430504,"[0.02661840245127678, 0.025137227028608322, 0.04230697080492973, 0.0300802793353796, 0.04735344648361206, 0.05573286488652229, 0.04202961549162865, 0.0341799221932888, 0.04867326840758324, 0.05720910802483559, 0.05155263841152191, 0.030170269310474396, 0.05729082599282265, 0.05135924741625786, 0.060393910855054855, 0.016746599227190018, 0.03838077932596207, 0.03714685142040253, 0.02965320460498333, 0.06308285892009735, 0.02526707388460636, 0.03425468131899834, 0.058741386979818344]"
4,10,3,0.05794581025838852,-1.5590202808380127,0.0707240104675293,-3.3027316607547688,0.05717867612838745,"[0.026142176240682602, 0.05401604622602463, 0.06284158676862717, 0.08518647402524948, 0.06480731815099716, 0.0589328370988369, 0.042856622487306595, 0.056948449462652206, 0.08661618083715439, 0.04955097660422325, 0.0509762167930603, 0.06536044925451279, 0.04828468710184097, 0.057657934725284576, 0.0641370415687561, 0.039563603699207306, 0.03162466362118721, 0.06636667251586914, 0.06055772677063942, 0.0996873676776886, 0.0432288683950901, 0.048819053918123245, 0.05094660818576813]"
2,20,3,0.059463176876306534,-1.1250168085098267,0.07020173221826553,-2.218401300178926,0.05292519927024841,"[0.04651033505797386, 0.03400969132781029, 0.02734140120446682, 0.05399098992347717, 0.0798211619257927, 0.053507983684539795, 0.047041960060596466, 0.033672548830509186, 0.05253124609589577, 0.06305494159460068, 0.05632458254694939, 0.03876376524567604, 0.04269832372665405, 0.05516807362437248, 0.0496528297662735, 0.031872257590293884, 0.04773248732089996, 0.06101443991065025, 0.06198602542281151, 0.05615502595901489, 0.054695356637239456, 0.054718632251024246, 0.11501538753509521]"
3,20,3,0.061291616410017014,-1.6148618459701538,0.07408798485994339,-1.543329478164291,0.05233599990606308,"[0.042207617312669754, 0.04156490042805672, 0.04162352532148361, 0.0648583248257637, 0.064577117562294, 0.054095711559057236, 0.04885369539260864, 0.03505847603082657, 0.0699237510561943, 0.04179370030760765, 0.04726126044988632, 0.03870807960629463, 0.04685796797275543, 0.05387987568974495, 0.047162506729364395, 0.05979723855853081, 0.07496413588523865, 0.06969370692968369, 0.05047817528247833, 0.048824988305568695, 0.06265823543071747, 0.05220852792263031, 0.0466763861477375]"
4,20,3,0.062059495598077774,-1.172365427017212,0.07526490092277527,-2.756600390873758,0.06021347641944885,"[0.04458758980035782, 0.048357393592596054, 0.03885138779878616, 0.04424327239394188, 0.09104679524898529, 0.04693024605512619, 0.10344833880662918, 0.05636908859014511, 0.07265807688236237, 0.04420328140258789, 0.038624994456768036, 0.045259587466716766, 0.041414614766836166, 0.04803586006164551, 0.057092588394880295, 0.06395726650953293, 0.13465294241905212, 0.06941549479961395, 0.07185707241296768, 0.0712331011891365, 0.04814235493540764, 0.05256146565079689, 0.05196704342961311]"
2,50,3,0.07582447677850723,-2.304739475250244,0.09567680209875107,-4.103506455756616,0.07259022444486618,"[0.057922203093767166, 0.06759722530841827, 0.05663232505321503, 0.043037377297878265, 0.09321903437376022, 0.06494610756635666, 0.07215353846549988, 0.05595507100224495, 0.062337372452020645, 0.045403193682432175, 0.05436268076300621, 0.056426092982292175, 0.04258229583501816, 0.14913299679756165, 0.1356372833251953, 0.039101243019104004, 0.07760186493396759, 0.08633803576231003, 0.07537596672773361, 0.05092506483197212, 0.049435727298259735, 0.17755188047885895, 0.05590042844414711]"
3,50,3,0.10018566995859146,-2.7149999141693115,0.10460016876459122,-5.735566314738279,0.08355101943016052,"[0.05569670349359512, 0.047184720635414124, 0.056543249636888504, 0.05783800780773163, 0.05244288221001625, 0.12223289161920547, 0.053668927401304245, 0.051444053649902344, 0.08667563647031784, 0.05074751749634743, 0.06922872364521027, 0.06371783465147018, 0.04423338919878006, 0.05511089414358139, 0.07318197190761566, 0.20958083868026733, 0.06203413009643555, 0.0720263347029686, 0.06501846760511398, 0.11477036774158478, 0.16641032695770264, 0.2531198263168335, 0.03876567259430885]"
4,50,3,0.07294624298810959,-1.576436161994934,0.08420165628194809,-1.530203263724707,0.05889175832271576,"[0.10412483662366867, 0.06838661432266235, 0.057238612323999405, 0.054630767554044724, 0.042267706245183945, 0.060326896607875824, 0.055970702320337296, 0.054343704134225845, 0.08092387020587921, 0.05483580008149147, 0.054772503674030304, 0.05277517810463905, 0.04574882611632347, 0.051019903272390366, 0.058822810649871826, 0.06213728338479996, 0.056624699383974075, 0.06028561666607857, 0.06567177921533585, 0.06979517638683319, 0.056608472019433975, 0.048624683171510696, 0.03857395425438881]"
2,10,5,0.04512225091457367,-0.8381298780441284,0.06848952174186707,-2.9305731641568333,0.059324026107788086,"[0.11866283416748047, 0.04381531476974487, 0.02777617983520031, 0.03375132009387016, 0.04930290952324867, 0.06570281833410263, 0.04405427724123001, 0.030480628833174706, 0.04960258677601814, 0.09841957688331604, 0.09282338619232178, 0.06587593257427216, 0.08752894401550293, 0.07488832622766495, 0.053240254521369934, 0.040430519729852676, 0.04657384380698204, 0.03830266743898392, 0.051900457590818405, 0.06349484622478485, 0.03457092121243477, 0.0763888731598854, 0.07686525583267212]"
3,10,5,0.03913049027323723,-0.5147731900215149,0.050653934478759766,-1.107295535534405,0.03863285854458809,"[0.027882611379027367, 0.03367402032017708, 0.03803897649049759, 0.03707710653543472, 0.0481991171836853, 0.036379434168338776, 0.03608136996626854, 0.032455530017614365, 0.04968594014644623, 0.02998472936451435, 0.03551790118217468, 0.050353676080703735, 0.027722563594579697, 0.04103071987628937, 0.03712746500968933, 0.0528421625494957, 0.03454422578215599, 0.04392356798052788, 0.03788168355822563, 0.04588428512215614, 0.04808161035180092, 0.03472095727920532, 0.029466157779097557]"
4,10,5,0.04529120773077011,-2.1562609672546387,0.1100497841835022,-5.1170231398324795,0.0899241641163826,"[0.16410361230373383, 0.0559956431388855, 0.06760465353727341, 0.06938482075929642, 0.08569038659334183, 0.07649871706962585, 0.17871308326721191, 0.07476940006017685, 0.052398499101400375, 0.11715048551559448, 0.09146451950073242, 0.10296078771352768, 0.0563911572098732, 0.07939116656780243, 0.07514328509569168, 0.06404128670692444, 0.18058376014232635, 0.05157019942998886, 0.11119642108678818, 0.08475005626678467, 0.1077878326177597, 0.06378385424613953, 0.0568823479115963]"
2,20,5,0.04770594462752342,-0.4239707887172699,0.05385754629969597,-1.8966901266390865,0.04344765096902847,"[0.06616687029600143, 0.02504735253751278, 0.03451517969369888, 0.034169502556324005, 0.05807696282863617, 0.03645899146795273, 0.03464188799262047, 0.03294830396771431, 0.044738851487636566, 0.05014781653881073, 0.06946688145399094, 0.05548829957842827, 0.05141254514455795, 0.02835906110703945, 0.027531862258911133, 0.02419281005859375, 0.050144512206315994, 0.056013572961091995, 0.04862840846180916, 0.06393018364906311, 0.03505922853946686, 0.027652423828840256, 0.04450439661741257]"
