Aggr,Conv,LSTM,Loss_final,R2_eval,Loss_eval,R2_tst,Loss_tst,Loss_nodes
add,1,1,0.018094424158334732,-2.772604465484619,0.026631543412804604,-1.6699382658015423,0.020580396056175232,"[[0.004804676398634911, 0.008133996278047562, 0.015444275923073292, 0.013769345358014107, 0.012435327284038067, 0.013287359848618507, 0.016389215365052223, 0.022985605522990227, 0.023143509402871132, 0.020020483061671257, 0.01968655176460743, 0.021839655935764313, 0.029203306883573532, 0.028162088245153427, 0.024957936257123947, 0.02329510822892189, 0.026311781257390976, 0.0313902273774147, 0.030089285224676132, 0.026258205994963646]]"
add,1,2,0.018973316997289658,-2.864100933074951,0.028983954340219498,-1.9378426075213864,0.02321290224790573,"[[0.0070711905136704445, 0.009593229740858078, 0.01609315536916256, 0.017003949731588364, 0.01491466537117958, 0.0157537292689085, 0.01905539259314537, 0.02484520897269249, 0.02616938203573227, 0.022728778421878815, 0.02237573266029358, 0.024513140320777893, 0.03217236325144768, 0.03217386454343796, 0.02815413847565651, 0.026553133502602577, 0.029517918825149536, 0.03248218819499016, 0.033829838037490845, 0.02925701253116131]]"
add,2,1,0.019973808899521828,-3.15645694732666,0.02941100485622883,-2.0406521287193815,0.023645352572202682,"[[0.007114897947758436, 0.010372690856456757, 0.015926284715533257, 0.019247211515903473, 0.01531597226858139, 0.016215089708566666, 0.019264398142695427, 0.024248410016298294, 0.028122812509536743, 0.022752689197659492, 0.02318340353667736, 0.02512725256383419, 0.03210566192865372, 0.0332692451775074, 0.028584886342287064, 0.02621457539498806, 0.02900346741080284, 0.0325278602540493, 0.03556514158844948, 0.028745200484991074]]"
add,2,2,0.01950696110725403,-2.989520311355591,0.028253531083464622,-1.9795970425695488,0.02230905368924141,"[[0.006349371746182442, 0.009617863222956657, 0.014802002348005772, 0.01714218221604824, 0.014136599376797676, 0.015333679504692554, 0.018155479803681374, 0.023677177727222443, 0.025830084457993507, 0.021668819710612297, 0.021487288177013397, 0.023913530632853508, 0.030006853863596916, 0.03115316480398178, 0.02668493427336216, 0.025415737181901932, 0.02830953150987625, 0.03169821575284004, 0.03293291851878166, 0.02786567248404026]]"
mean,1,1,0.017451919615268707,-2.781355619430542,0.02676542103290558,-1.7646069259739672,0.021236995235085487,"[[0.00496312603354454, 0.008217066526412964, 0.01426347903907299, 0.01158881839364767, 0.012192373163998127, 0.013861197046935558, 0.016626182943582535, 0.023970330134034157, 0.022180145606398582, 0.020411981269717216, 0.021254632622003555, 0.023383455350995064, 0.031061407178640366, 0.028408914804458618, 0.02643243782222271, 0.02580471895635128, 0.028349338099360466, 0.03249736875295639, 0.031237643212080002, 0.028035294264554977]]"
mean,1,2,0.018040813505649567,-2.611250400543213,0.027516113594174385,-1.4784903066062867,0.021317942067980766,"[[0.0055427756160497665, 0.00861543882638216, 0.014735618606209755, 0.014380310662090778, 0.013271033763885498, 0.014248817227780819, 0.017125988379120827, 0.023615390062332153, 0.023319536820054054, 0.020957862958312035, 0.02037409134209156, 0.022452231496572495, 0.029714304953813553, 0.028862135484814644, 0.025986267253756523, 0.024756725877523422, 0.027777809649705887, 0.031033916398882866, 0.03175049275159836, 0.02783811092376709]]"
mean,2,1,0.01974720135331154,-2.861173152923584,0.028698669746518135,-1.907086575977146,0.022333037108182907,"[[0.005824635736644268, 0.008911266922950745, 0.013998611830174923, 0.01583153009414673, 0.014197374694049358, 0.01455194316804409, 0.017839405685663223, 0.023594781756401062, 0.026004917919635773, 0.02191651426255703, 0.021939057856798172, 0.023846779018640518, 0.03115270286798477, 0.0317823700606823, 0.027068516239523888, 0.025797171518206596, 0.028474977239966393, 0.032410141080617905, 0.033493030816316605, 0.028025023639202118]]"
mean,2,2,0.01830805465579033,-3.0034852027893066,0.028093893080949783,-2.1957741350707494,0.02202531136572361,"[[0.0057951947674155235, 0.00900676567107439, 0.014358134008944035, 0.01657838374376297, 0.01332962978631258, 0.014559782110154629, 0.017636222764849663, 0.02352083846926689, 0.025474440306425095, 0.021408429369330406, 0.021339314058423042, 0.023354627192020416, 0.03043651394546032, 0.031079567968845367, 0.02719985879957676, 0.025287190452218056, 0.02808198519051075, 0.03109051287174225, 0.03315533697605133, 0.027813583612442017]]"
