Hidden Size,Layers,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
50,1,1.1014456748962402,0.6112820512820514,0.44941367982589725,0.5108038082607048,0.4593732609605467,1.2368508577346802,1.1911847591400146,0.7380952380952381,0.7290476190476189,0.6984412179874975,0.7046310563259716
50,2,1.0606815814971924,0.6525641025641027,0.5722634643619365,0.5819623910572186,0.5433705386424098,1.2096401453018188,1.1800066232681274,0.7261904761904762,0.6869444444444445,0.6594273038919136,0.6666707533276076
50,3,1.238358736038208,0.5920512820512821,0.38487654146412187,0.46832749147404323,0.3862006626201892,1.244787573814392,1.241915225982666,0.6785714285714286,0.5183673469387755,0.5678362573099415,0.5190883190883191
100,1,1.093489408493042,0.6269230769230769,0.4811064736729555,0.5451534672224327,0.48647744438495766,1.2164684534072876,1.1645926237106323,0.7619047619047619,0.8114556167294504,0.7028271828997782,0.6761138478379858
100,2,1.2074954509735107,0.6105128205128205,0.43574517178597966,0.5036472148541115,0.4403748679616794,1.2482019662857056,1.2596185207366943,0.6666666666666666,0.5571764705882354,0.5812865497076023,0.5363911459557466
100,3,1.2273820638656616,0.5787179487179487,0.39222784882767975,0.47338669950738915,0.4035334214133396,1.2765076160430908,1.2834962606430054,0.6190476190476191,0.48483116883116883,0.5017543859649123,0.47390311221090703
150,1,1.093858003616333,0.6146153846153846,0.4862063831968415,0.5454727169382342,0.48878681141937375,1.2284471988677979,1.178693175315857,0.75,0.7072829131652661,0.691716071788667,0.6838056680161942
150,2,1.076454997062683,0.6333333333333333,0.4758181968442186,0.5329310344827586,0.47723643873535426,1.1948413848876953,1.1606080532073975,0.7380952380952381,0.6881720430107526,0.6777979431336962,0.681842715580856
150,3,1.2651753425598145,0.606153846153846,0.39522693985873675,0.4935681129215613,0.41462224519150853,1.2544608116149902,1.236939787864685,0.6904761904761905,0.5558673469387755,0.5845029239766082,0.5311133311133311
